REGION,SOURCE,DST
Unknown,0,0
Left-Cerebral-Exterior,1,0
Left-Cerebral-White-Matter,2,1
Left-Cerebral-Cortex,3,0
Left-Lateral-Ventricle,4,2
Left-Inf-Lat-Vent,5,2
Left-Cerebellum-Exterior,6,0
Left-Cerebellum-White-Matter,7,3
Left-Cerebellum-Cortex,8,4
Left-Thalamus,9,5
Left-Thalamus-Proper,10,5
Left-Caudate,11,6
Left-Putamen,12,7
Left-Pallidum,13,8
3rd-Ventricle,14,2
4th-Ventricle,15,53
Brain-Stem,16,9
Left-Hippocampus,17,10
Left-Amygdala,18,11
Left-Insula,19,12
Left-Operculum,20,26
CSF,24,2
Left-Lesion,25,99
Left-Accumbens-area,26,14
Left-Substancia-Nigra,27,0
Left-VentralDC,28,15
Left-undetermined,29,0
Left-vessel,30,0
Left-choroid-plexus,31,16
Right-Cerebral-Exterior,40,0
Right-Cerebral-White-Matter,41,1
Right-Cerebral-Cortex,42,0
Right-Lateral-Ventricle,43,2
Right-Inf-Lat-Vent,44,2
Right-Cerebellum-Exterior,45,0
Right-Cerebellum-White-Matter,46,3
Right-Cerebellum-Cortex,47,4
Right-Thalamus,48,17
Right-Thalamus-Proper,49,17
Right-Caudate,50,18
Right-Putamen,51,19
Right-Pallidum,52,20
Right-Hippocampus,53,21
Right-Amygdala,54,22
Right-Insula,55,23
Right-Operculum,56,31
Right-Lesion,57,99
Right-Accumbens-area,58,24
Right-Substancia-Nigra,59,0
Right-VentralDC,60,15
Right-undetermined,61,0
Right-vessel,62,0
Right-choroid-plexus,63,16
5th-Ventricle,72,2
WM-hypointensities,77,1
Left-WM-hypointensities,78,1
Right-WM-hypointensities,79,1
non-WM-hypointensities,80,0
Left-non-WM-hypointensities,81,0
Right-non-WM-hypointensities,82,0
Optic-Chiasm,85,25
Corpus_Callosum,192,1
Left-Amygdala-Anterior,96,11
Right-Amygdala-Anterior,97,22
Fornix,250,1
CC_Posterior,251,1
CC_Mid_Posterior,252,1
CC_Central,253,1
CC_Mid_Anterior,254,1
CC_Anterior,255,1
ctx-lh-bankssts,1001,27
ctx-lh-caudalanteriorcingulate,1002,36
ctx-lh-caudalmiddlefrontal,1003,26
ctx-lh-corpuscallosum,1004,44
ctx-lh-cuneus,1005,29
ctx-lh-entorhinal,1006,27
ctx-lh-fusiform,1007,27
ctx-lh-inferiorparietal,1008,28
ctx-lh-inferiortemporal,1009,27
ctx-lh-isthmuscingulate,1010,38
ctx-lh-lateraloccipital,1011,29
ctx-lh-lateralorbitofrontal,1012,26
ctx-lh-lingual,1013,29
ctx-lh-medialorbitofrontal,1014,26
ctx-lh-middletemporal,1015,27
ctx-lh-parahippocampal,1016,30
ctx-lh-paracentral,1017,26
ctx-lh-parsopercularis,1018,26
ctx-lh-parsorbitalis,1019,26
ctx-lh-parstriangularis,1020,26
ctx-lh-pericalcarine,1021,29
ctx-lh-postcentral,1022,28
ctx-lh-posteriorcingulate,1023,39
ctx-lh-precentral,1024,26
ctx-lh-precuneus,1025,28
ctx-lh-rostralanteriorcingulate,1026,37
ctx-lh-rostralmiddlefrontal,1027,26
ctx-lh-superiorfrontal,1028,26
ctx-lh-superiorparietal,1029,28
ctx-lh-superiortemporal,1030,27
ctx-lh-supramarginal,1031,28
ctx-lh-frontalpole,1032,26
ctx-lh-temporalpole,1033,27
ctx-lh-transversetemporal,1034,27
ctx-lh-insula,1035,12
ctx-rh-unknown,2000,0
ctx-rh-bankssts,2001,32
ctx-rh-caudalanteriorcingulate,2002,40
ctx-rh-caudalmiddlefrontal,2003,31
ctx-rh-corpuscallosum,2004,44
ctx-rh-cuneus,2005,34
ctx-rh-entorhinal,2006,32
ctx-rh-fusiform,2007,32
ctx-rh-inferiorparietal,2008,33
ctx-rh-inferiortemporal,2009,32
ctx-rh-isthmuscingulate,2010,42
ctx-rh-lateraloccipital,2011,34
ctx-rh-lateralorbitofrontal,2012,31
ctx-rh-lingual,2013,34
ctx-rh-medialorbitofrontal,2014,31
ctx-rh-middletemporal,2015,32
ctx-rh-parahippocampal,2016,35
ctx-rh-paracentral,2017,31
ctx-rh-parsopercularis,2018,31
ctx-rh-parsorbitalis,2019,31
ctx-rh-parstriangularis,2020,31
ctx-rh-pericalcarine,2021,34
ctx-rh-postcentral,2022,33
ctx-rh-posteriorcingulate,2023,43
ctx-rh-precentral,2024,31
ctx-rh-precuneus,2025,33
ctx-rh-rostralanteriorcingulate,2026,41
ctx-rh-rostralmiddlefrontal,2027,31
ctx-rh-superiorfrontal,2028,31
ctx-rh-superiorparietal,2029,33
ctx-rh-superiortemporal,2030,32
ctx-rh-supramarginal,2031,33
ctx-rh-frontalpole,2032,31
ctx-rh-temporalpole,2033,32
ctx-rh-transversetemporal,2034,32
ctx-rh-insula,2035,23
